state_code,state,capital,region,lat,lon,desertification_pressure_score,flooding_pressure_score,slope_mean_t2m_c,z_mean_t2m_c,slope_mean_t2m_max_c,z_mean_t2m_max_c,slope_dry_days_lt_1mm,z_dry_days_lt_1mm,slope_longest_dry_spell_days,z_longest_dry_spell_days,slope_annual_precip_mm,z_annual_precip_mm,slope_mean_rh2m_pct,z_mean_rh2m_pct,slope_heavy_rain_days_ge_20mm,z_heavy_rain_days_ge_20mm,slope_extreme_rain_days_ge_50mm,z_extreme_rain_days_ge_50mm,slope_max_1day_precip_mm,z_max_1day_precip_mm,slope_max_5day_precip_mm,z_max_5day_precip_mm,slope_rainfall_concentration,z_rainfall_concentration
AC,Acre,Rio Branco,Norte,-9.9747,-67.81,6.186255420924114,0.41098868937308564,0.04814021619493574,1.4180639814102218,0.06914677103718196,1.6350278759903392,1.3636363636363635,0.7532503940068772,0.17391304347826086,-0.22319614258422144,-20.66878048780488,-1.4716197433522036,-0.20516609589041135,-1.1314895687486932,-0.2,-0.8830358766190197,0.0,-0.19611613513818402,0.022812500000000124,-0.5752526234884258,0.03642857142857382,0.6160156293171464,0.0007674802794193308,1.4493776953015687
AL,Alagoas,Maceió,Nordeste,-9.6498,-35.7089,-0.5018259041426019,0.8665702846843641,0.025849756959787907,-0.46432770096737963,0.033225500526870386,-0.37953887456957824,1.3333333333333333,0.6942991641885069,0.1794871794871795,-0.19826992960756493,-13.956410256410258,-0.42791433713780946,-0.052846083788706956,0.5819029003243954,-0.1,-0.07428080725767432,0.0,-0.19611613513818402,0.19571428571428534,0.27512809084740664,-0.3146153846153871,-0.22682561029895948,0.000688526262579971,1.0886647465317754
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,-1.4837506815965122,-0.28429964084304626,0.02524846311475415,-0.5151059519049667,0.029591976516634082,-0.5833172085313995,1.1875,0.4105963706875995,0.09523809523809523,-0.575011834311887,-13.476363636363699,-0.3532719626403224,-0.0535322896281803,0.5741840201761811,-0.03125,0.4817383029282507,0.0,-0.19611613513818402,0.23449999999999988,0.4658873897410235,-0.262857142857142,-0.10255632751316962,0.00024596239522818873,-0.9332528708609669
AP,Amapá,Macapá,Norte,0.0349,-51.0694,3.1535610818638706,4.332287912006967,0.029495890410959902,-0.156417881392979,0.0313385518591,-0.4853643086953653,2.074074074074074,2.135329226415339,0.375,0.6760169905486606,-19.334285714285734,-1.2641193579931853,-0.07967427701674294,0.2801223030049698,0.041666666666666664,1.0714555410042317,0.0,-0.19611613513818402,0.4058333333333337,1.3085540041292754,0.341666666666667,1.3488789934034264,0.0006252363422209586,0.7995155086082171
BA,Bahia,Salvador,Nordeste,-12.9777,-38.5016,3.2466319026175037,-2.513936356264421,0.03595516811955173,0.3890572254477112,0.049621575342465585,0.5399995129634859,1.6923076923076923,1.3926445020368947,0.09523809523809523,-0.575011834311887,-20.1696,-1.394002246724571,-0.11399510763209467,-0.10594024975672828,-0.20833333333333334,-0.9504321323991318,0.0,-0.19611613513818402,-0.08538461538461534,-1.1073971579693325,-0.771860465116279,-1.3246511213853163,0.0006832720677484635,1.0646601906275437
CE,Ceará,Fortaleza,Nordeste,-3.7319,-38.5267,-5.264022565654715,-0.8166682230250799,0.020174376824609652,-0.943603980028741,0.022477113264283328,-0.9823389229457569,0.05405405405405406,-1.79439870003567,0.4166666666666667,0.8623404325491678,-2.932499999999976,1.2861917588614853,-0.00502457854836364,1.1198296363322287,0.0,0.7344742621036712,0.0,-0.19611613513818402,0.11764705882352941,-0.10882898568204427,-0.16692307692307595,0.12777718389232456,0.0001494958091163297,-1.3739745482008474
DF,Distrito Federal,Brasília,Centro-Oeste,-15.7939,-47.8828,5.500670346386362,-3.0812540617232673,0.043791457616926974,1.050818655077776,0.060748028227480454,1.1640025539302015,0.896551724137931,-0.15541166560731445,0.475,1.1231932513498775,-15.269487179487179,-0.6320844642533997,-0.25446038251366093,-1.6859830873824215,-0.1794871794871795,-0.7171374008525898,0.0,-0.19611613513818402,-0.07842105263157886,-1.073148353402126,-0.6858974358974362,-1.118257634585356,0.0004553588651912219,0.023405462254988844
ES,Espírito Santo,Vitória,Sudeste,-20.3155,-40.3128,-1.4839651222001304,3.415538043234918,0.024913242009132593,-0.5434148088164675,0.03862130974796575,-0.0769265867869699,1.4761904761904763,0.9722121047608248,0.030303030303030304,-0.8653860296373526,-7.366000000000003,0.5968275314818311,-0.0713621614929718,0.37362227023833394,0.0,0.7344742621036712,0.0,-0.19611613513818402,0.1960000000000001,0.2765333158852993,0.14000000000000057,0.8646861155710687,0.0008302084472495401,1.735960484813063
GO,Goiás,Goiânia,Centro-Oeste,-16.6869,-49.2648,3.7209110755431767,-1.5325774352084809,0.03638613013698633,0.42545124086397423,0.0475052670161664,0.42131093854706647,0.9166666666666666,-0.11628024581408594,0.6666666666666666,1.9802810845522099,-10.310740740740753,0.13895025042304568,-0.20673150684931443,-1.1490983078170576,-0.1,-0.07428080725767432,0.0,-0.19611613513818402,0.12071428571428607,-0.09374348159880785,-0.5500000000000028,-0.7919738135413061,0.0003678343196568262,-0.3764631976725085
MA,Maranhão,São Luís,Nordeste,-2.5307,-44.3068,-0.34333063243618933,-0.1429140902597822,0.024662684332659286,-0.5645739819485092,0.027583674863387753,-0.6959484623330477,0.6285714285714286,-0.676738009301593,0.625,1.793957642551703,-15.428214285714278,-0.6567649173826321,-0.028408469945354398,0.8567927387873745,-0.18181818181818182,-0.7359895003715023,0.0,-0.19611613513818402,0.31,0.8372181060035503,0.013684210526318302,0.5614074100127453,0.0003168409233713157,-0.6094339707663914
