date,T2M,RH2M,PRECTOTCORR,lat,lon
2020-01-01,24.42,80.66,3.24,-15.239435,-39.247947
2020-01-02,26.6,77.52,5.78,-15.239435,-39.247947
2020-01-03,25.55,86.97,4.39,-15.239435,-39.247947
2020-01-04,24.81,92.53,11.84,-15.239435,-39.247947
2020-01-05,26.31,82.39,2.63,-15.239435,-39.247947
2020-01-06,26.92,79.47,3.33,-15.239435,-39.247947
2020-01-07,26.71,78.38,0.85,-15.239435,-39.247947
2020-01-08,26.87,71.43,0.02,-15.239435,-39.247947
2020-01-09,25.63,69.72,0.02,-15.239435,-39.247947
2020-01-10,25.58,70.54,0.06,-15.239435,-39.247947
2020-01-11,26.64,69.9,0.06,-15.239435,-39.247947
2020-01-12,27.28,70.04,0.46,-15.239435,-39.247947
2020-01-13,27.94,69.9,0.03,-15.239435,-39.247947
2020-01-14,27.35,66.93,0.0,-15.239435,-39.247947
2020-01-15,27.07,67.24,0.0,-15.239435,-39.247947
2020-01-16,27.46,70.58,0.01,-15.239435,-39.247947
2020-01-17,27.36,69.21,0.03,-15.239435,-39.247947
2020-01-18,26.99,69.68,0.16,-15.239435,-39.247947
2020-01-19,26.84,73.22,2.02,-15.239435,-39.247947
2020-01-20,26.7,68.42,0.42,-15.239435,-39.247947
2020-01-21,26.3,69.72,0.15,-15.239435,-39.247947
2020-01-22,24.94,87.22,8.65,-15.239435,-39.247947
2020-01-23,24.38,92.66,24.8,-15.239435,-39.247947
2020-01-24,24.89,86.22,8.2,-15.239435,-39.247947
2020-01-25,25.69,86.7,3.22,-15.239435,-39.247947
2020-01-26,24.88,83.37,4.77,-15.239435,-39.247947
2020-01-27,26.67,78.03,1.84,-15.239435,-39.247947
2020-01-28,27.31,75.57,0.34,-15.239435,-39.247947
2020-01-29,27.1,73.44,0.15,-15.239435,-39.247947
2020-01-30,26.46,72.45,0.26,-15.239435,-39.247947
2020-01-31,26.76,73.22,0.39,-15.239435,-39.247947
2020-02-01,27.14,72.06,0.08,-15.239435,-39.247947
2020-02-02,27.7,73.7,0.88,-15.239435,-39.247947
2020-02-03,26.82,79.58,4.0,-15.239435,-39.247947
2020-02-04,27.03,75.86,0.77,-15.239435,-39.247947
2020-02-05,26.92,69.62,0.07,-15.239435,-39.247947
2020-02-06,26.58,73.11,0.44,-15.239435,-39.247947
2020-02-07,26.04,74.81,1.45,-15.239435,-39.247947
2020-02-08,27.08,70.6,1.39,-15.239435,-39.247947
2020-02-09,27.42,72.1,0.13,-15.239435,-39.247947
2020-02-10,27.03,74.34,0.02,-15.239435,-39.247947
2020-02-11,27.99,73.0,0.1,-15.239435,-39.247947
2020-02-12,26.97,69.5,0.31,-15.239435,-39.247947
2020-02-13,27.48,68.5,0.08,-15.239435,-39.247947
2020-02-14,26.49,76.9,1.28,-15.239435,-39.247947
2020-02-15,26.77,76.03,2.22,-15.239435,-39.247947
2020-02-16,26.6,74.68,0.59,-15.239435,-39.247947
2020-02-17,26.98,72.56,2.13,-15.239435,-39.247947
2020-02-18,26.42,75.3,5.37,-15.239435,-39.247947
2020-02-19,25.77,80.25,3.53,-15.239435,-39.247947
2020-02-20,25.8,82.28,1.6,-15.239435,-39.247947
2020-02-21,28.24,71.06,0.01,-15.239435,-39.247947
